---------------------------------------------------------------------------------------------
Output for s3a://batch-processing-bucket/large-text-file-1.txt
---------------------------------------------------------------------------------------------
('total number of words=', 20180402)
('total number of distinct words=', 61593)
('popular_threshold_word=', 3080.0)
('common_threshold_l_word=', 29256.0)
('common_threshold_u_word=', 32337.0)
('rare_threshold_word=', 58513.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
| 244|         always|     8704|
| 245|         friend|     8680|
| 246|           home|     8624|
| 247|         enough|     8616|
| 248|           miss|     8564|
| 249|            son|     8556|
| 250|           john|     8484|
| 251|         sancho|     8484|
| 252|           took|     8428|
| 253|         indeed|     8428|
| 254|           wife|     8364|
| 255|         rather|     8348|
| 256|          sweet|     8328|
| 257|         having|     8316|
| 258|         within|     8280|
| 259|           each|     8260|
| 260|           exit|     8084|
| 261|           fear|     8068|
| 262|           does|     8060|
| 263|          since|     8024|
| 264|         prince|     7992|
| 265|           soon|     7936|
| 266|           keep|     7912|
| 267|           call|     7904|
| 268|           dear|     7824|
| 269|           half|     7824|
| 270|           side|     7812|
| 271|           gone|     7744|
| 272|           dead|     7688|
| 273|          blood|     7640|
| 274|      something|     7592|
| 275|         heaven|     7540|
| 276|          going|     7524|
| 277|            boy|     7448|
| 278|      gentleman|     7416|
| 279|         nature|     7384|
| 280|           hope|     7372|
| 281|         answer|     7352|
| 282|          comes|     7340|
| 283|           sure|     7304|
| 284|        brother|     7288|
| 285|            yes|     7268|
| 286|            got|     7232|
| 287|        friends|     7192|
| 288|            use|     7180|
| 289|           soul|     7168|
| 290|           room|     7164|
| 291|          whole|     7152|
| 292|           gave|     7140|
| 293|           hold|     7132|
| 294|          light|     7116|
| 295|         honour|     7100|
| 296|            eye|     7064|
| 297|         looked|     7064|
| 298|           live|     7032|
| 299|           body|     7020|
| 300|       together|     7016|
| 301|          truth|     6976|
| 302|           less|     6964|
| 303|         matter|     6952|
| 304|           pray|     6952|
| 305|           says|     6948|
| 306|         seemed|     6908|
| 307|           kind|     6896|
| 308|       daughter|     6888|
| 309|           knew|     6884|
| 310|          stand|     6872|
| 311|           also|     6840|
| 312|           days|     6824|
| 313|          quite|     6812|
| 314|          round|     6788|
| 315|        present|     6788|
| 316|         mother|     6776|
| 317|           rest|     6772|
| 318|         almost|     6732|
| 319|           else|     6732|
| 320|           bear|     6660|
| 321|         reason|     6660|
| 322|        whether|     6620|
| 323|          noble|     6592|
| 324|     government|     6556|
| 325|        brought|     6520|
| 326|          among|     6516|
| 327|           show|     6504|
| 328|           high|     6456|
| 329|             ay|     6448|
| 330|        herself|     6420|
| 331|         course|     6408|
| 332|           none|     6380|
| 333|           door|     6308|
| 334|         called|     6308|
| 335|          bring|     6292|
| 336|          peace|     6272|
| 337|          asked|     6264|
| 338|            few|     6204|
| 339|        however|     6196|
| 340|         others|     6168|
| 341|            sea|     6112|
| 342|           help|     6081|
| 343|         either|     6072|
| 344|           mean|     6064|
| 345|        believe|     6060|
| 346|          henry|     6036|
| 347|           fire|     6032|
| 348|          given|     5988|
| 349|           near|     5932|
| 350|            lay|     5904|
| 351|          means|     5896|
| 352|          voice|     5884|
| 353|          white|     5828|
| 354|             tm|     5825|
| 355|         states|     5824|
| 356|          forth|     5804|
| 357|          alone|     5796|
| 358|           case|     5796|
| 359|           hast|     5792|
| 360|        general|     5748|
| 361|           read|     5700|
| 362|          times|     5644|
| 363|          grace|     5644|
| 364|            bed|     5632|
| 365|          women|     5624|
| 366|       question|     5592|
| 367|            nay|     5564|
| 368|     gloucester|     5560|
| 369|          earth|     5516|
| 370|        country|     5516|
| 371|           wish|     5508|
| 372|         moment|     5504|
| 373|           next|     5480|
| 374|        certain|     5476|
| 375|           want|     5472|
| 376|           hour|     5456|
| 377|           four|     5444|
| 378|            die|     5428|
| 379|          money|     5416|
| 380|     themselves|     5408|
| 381|         letter|     5376|
| 382|          often|     5360|
| 383|            act|     5344|
| 384|         france|     5344|
| 385|        perhaps|     5284|
| 386|           turn|     5276|
| 387|       business|     5272|
| 388|        morning|     5260|
| 389|       anything|     5236|
| 390|             ye|     5228|
| 391|        replied|     5204|
| 392|          began|     5196|
| 393|          known|     5192|
| 394|         please|     5184|
| 395|            ill|     5168|
| 396|          child|     5116|
| 397|          point|     5084|
| 398|        husband|     5080|
| 399|          doubt|     5060|
| 400|          cause|     5048|
| 401|           arms|     5044|
| 402|            law|     5028|
| 403|           stay|     5028|
| 404|       thousand|     5024|
| 405|         itself|     5008|
| 406|         public|     5004|
| 407|          least|     5000|
| 408|          taken|     4996|
| 409|        servant|     4976|
| 410|          makes|     4972|
| 411|            air|     4968|
| 412|          stood|     4928|
| 413|           open|     4920|
| 414|          water|     4916|
| 415|         fellow|     4888|
| 416|           lost|     4876|
| 417|        strange|     4868|
| 418|          aside|     4856|
| 419|         coming|     4856|
| 420|        looking|     4840|
| 421|        already|     4840|
| 422|       pleasure|     4828|
| 423|           felt|     4820|
| 424|           care|     4816|
| 425|            war|     4784|
| 426|         return|     4780|
| 427|          until|     4776|
| 428|           page|     4772|
| 429|           york|     4768|
| 430|       falstaff|     4752|
| 431|         person|     4752|
| 432|         spirit|     4748|
| 433|          cried|     4736|
| 434|          black|     4732|
| 435|        neither|     4696|
| 436|          small|     4660|
| 437|         strong|     4660|
| 438|        subject|     4644|
| 439|           sort|     4620|
| 440|           free|     4616|
| 441|       yourself|     4588|
| 442|           hard|     4576|
| 443|          faith|     4560|
| 444|           fall|     4556|
| 445|         tongue|     4548|
| 446|        towards|     4548|
| 447|           sent|     4540|
| 448|        justice|     4528|
| 449|            ask|     4524|
| 450|        fortune|     4524|
| 451|         beauty|     4520|
| 452|         turned|     4504|
| 453|        chapter|     4496|
| 454|          thine|     4480|
| 455|          madam|     4480|
| 456|          whale|     4476|
| 457|      gladstone|     4468|
| 458|          short|     4448|
| 459|          happy|     4444|
| 460|           fool|     4428|
| 461|       remember|     4428|
| 462|          marry|     4408|
| 463|          works|     4396|
| 464|           play|     4388|
| 465|         desire|     4364|
| 466|        england|     4352|
| 467|         sister|     4344|
| 468|           meet|     4340|
| 469|          sight|     4336|
| 470|          lords|     4316|
| 471|       mistress|     4308|
| 472|         behind|     4300|
| 473|           feel|     4272|
| 474|          court|     4272|
| 475|          above|     4264|
| 476|            age|     4256|
| 477|         caesar|     4252|
| 478|         manner|     4244|
| 479|         common|     4236|
| 480|        richard|     4224|
| 481|          sense|     4184|
| 482|         antony|     4184|
| 483|         follow|     4184|
| 484|         gentle|     4160|
| 485|           book|     4144|
| 486|         making|     4140|
| 487|          ought|     4136|
| 488|           dost|     4132|
| 489|           cold|     4132|
| 490|            sun|     4092|
| 491|        further|     4084|
| 492|          order|     4080|
| 493|            lie|     4072|
| 494|           form|     4072|
| 495|          tears|     4068|
| 496|           five|     4056|
| 497|         ground|     4056|
| 498|         become|     4052|
| 499|        purpose|     4004|
| 500|          horse|     4000|
| 501|         hamlet|     3988|
| 502|            bad|     3984|
| 503|            ere|     3960|
| 504|         knight|     3960|
| 505|       thoughts|     3956|
| 506|           need|     3936|
| 507|          along|     3932|
| 508|          sound|     3920|
| 509|          seems|     3920|
| 510|           unto|     3904|
| 511|         passed|     3900|
| 512|          youth|     3892|
| 513|          sword|     3884|
| 514|           talk|     3884|
| 515|          bloom|     3864|
| 516|        captain|     3860|
| 517|           year|     3852|
| 518|          ready|     3840|
| 519|          large|     3838|
| 520|           seem|     3832|
| 521|         change|     3832|
| 522|          terms|     3828|
| 523|         brutus|     3824|
| 524|          wrong|     3824|
| 525|          sleep|     3820|
| 526|        company|     3820|
| 527|        english|     3792|
| 528|       children|     3780|
| 529|          hence|     3772|
| 530|           land|     3768|
| 531|         church|     3764|
| 532|          third|     3756|
| 533|           fell|     3744|
| 534|           dark|     3736|
| 535|         saying|     3732|
| 536|           city|     3704|
| 537|        welcome|     3704|
| 538|          spoke|     3692|
| 539|         edward|     3684|
| 540|           gods|     3680|
| 541|          close|     3672|
| 542|            run|     3632|
| 543|           held|     3620|
| 544|        opinion|     3616|
| 545|           gold|     3612|
| 546|      different|     3608|
| 547|          knows|     3604|
